ZIP_CODE,MEDIAN_HOUSEHOLD_INCOME,MEAN_HOUSEHOLD_INCOME,
2907,30216,40140,
2908,40373,52099,
2909,33877,45087,
2910,58287,62429,
2911,48687,58607,
2912,60938,124502,
2914,46275,55014,
2915,52780,67882,
2916,59302,73541,
2917,71030,85287,
2919,59408,66484,
2920,54380,65389,
2921,85748,105690,
3031,115544,134503,
3032,90082,98874,
3033,101722,105947,
3034,90986,96056,
3036,99970,114222,
3037,85573,93969,
3038,72374,82126,
3042,73405,87635,
3043,67541,77721,
3044,76929,80916,
3045,76696,85933,
3046,95682,112556,
3047,69136,80002,
3048,63151,70795,
3049,112885,159945,
3051,77996,88948,
3052,100051,102541,
3053,93465,104876,
3054,92954,100328,
3055,70617,80757,
3057,97234,110769,
3060,45861,58717,
3062,83501,94152,
3063,75894,85916,
3064,68657,83760,
3070,86118,108691,
3071,72739,85830,
3076,93085,103680,
3077,61164,69251,
3079,68841,87526,
3082,80299,77177,
3084,72806,85920,
3086,68090,97907,
3087,114204,134056,
3101,28275,44234,
3102,50355,60184,
3103,51018,59129,
3104,61017,74121,
3106,53663,67135,
3109,67513,73274,
3110,117684,146355,
3215,49073,61071,
3216,64522,73462,
3217,44153,63301,
3218,65727,70499,
3220,56585,60860,
3221,67314,79913,
3222,47954,57441,
3223,44546,58613,
3224,78500,85675,
3225,65804,70742,
3226,1341,1856,
3227,51866,69455,
3229,86083,112531,
3230,62943,70846,
3231,64522,73462,
3233,66146,93832,
3234,71686,76545,
3235,49138,54173,
3237,64219,78346,
3238,44050,54023,
3240,54297,60586,
3241,70144,97030,
3242,73472,79535,
3243,62943,70846,
3244,57426,65981,
3245,44153,63301,
3246,45867,60388,
3249,60450,85894,
3251,49073,61071,
3253,58931,74305,
3254,74162,102346,
3255,67396,80093,
3256,585,695,
3257,66175,93511,
3258,74808,84333,
3259,51866,69455,
3260,67396,80093,
3261,64816,77245,
3262,44050,54023,
3263,57987,64562,
3264,43783,55678,
3266,51840,69530,
3268,64522,73462,
3269,61702,74989,
3273,67396,80093,
3275,58388,69108,
3276,55931,60462,
3278,63262,71038,
3279,44050,54023,
3280,52648,63213,
3281,78480,88983,
3282,59259,66151,
3284,81000,87997,
3285,49073,61071,
3287,62943,70846,
3290,98477,105299,
3291,98542,105353,
3293,44050,54023,
3301,52876,72338,
3303,57450,64970,
3304,103270,119136,
3307,74570,93317,
3431,49288,64159,
3440,61481,66225,
3441,36932,48336,
3442,67351,77729,
3443,79400,100196,
3444,60369,74292,
3445,60369,74292,
3446,52053,62433,
3447,67839,76203,
3448,55170,68978,
3449,64231,93445,
3450,60369,74292,
3451,44533,50539,
3452,56637,71304,
3455,55913,65606,
3456,55170,68978,
3457,60369,74292,
3458,70275,86328,
3461,68250,78731,
3462,79400,100196,
3464,60369,74292,
3465,55910,65536,
3466,79400,100196,
3467,79400,100196,
3470,43642,54386,
3561,44787,53312,
3570,39342,45740,
3574,58082,67369,
3575,60741,70341,
3576,36884,47521,
3579,41891,44965,
3580,56505,66182,
3581,43217,61600,
3582,35740,41166,
3583,60741,70341,
3584,46889,64494,
3585,50406,61591,
3586,58082,67369,
3588,52026,55843,
3590,35828,42695,
3592,38616,46857,
3593,60741,70341,
3595,60741,70341,
3597,38550,46726,
3598,48061,53959,
3601,58667,63858,
3602,56041,67702,
3603,49290,54965,
3604,58112,62174,
3605,52648,63213,
3607,58667,63858,
3608,58112,62174,
3609,58112,62174,
3740,50092,61154,
3741,60392,64937,
3743,42247,51372,
3745,77619,93315,
3746,77619,93315,
3748,61496,70303,
3750,110729,170957,
3751,64611,77239,
3752,52648,63213,
3753,81000,87997,
3754,45794,50574,
3755,81607,118009,
3765,41575,49288,
3766,59682,73873,
3768,70144,97030,
3770,77619,93315,
3771,50406,61591,
3773,49852,54854,
3774,41575,49288,
3777,59259,66151,
3779,59259,66151,
3780,41614,49362,
3781,77619,93315,
3782,59775,74054,
3784,56652,73403,
3785,42817,51208,
3801,63815,80794,
3809,57560,71765,
3810,57569,71774,
3811,87514,105490,
3812,46357,66711,
3813,46708,59878,
3814,44967,50007,
3816,52679,71728,
3817,51866,69455,
3818,49733,63387,
3819,78083,85681,
3820,59989,73476,
3823,72209,93556,
3824,60676,89886,
3825,74102,78995,
3826,82711,96581,
3827,87103,110233,
3830,46406,54838,
3832,55531,71353,
3833,74806,91971,
