ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE,HYDROCODONE,OXYCODONE
30711,33877,3569,51.32150355,0.0,0.0
30720,46487,26895,554.833519,52240.0,73425.855
30721,37837,53601,431.4311011,50485.0,85232.3355
30725,36359,4647,310.98173060000005,2085.0,8677.5
30726,51115,56,424.24242419999996,0.0,0.0
30728,37536,19612,112.9925275,48727.5,46032.5
30730,36546,1993,35.98057446,0.0,0.0
30731,34047,2428,27.99331296,0.0,0.0
30733,38798,2080,136.0811253,0.0,0.0
30734,7253,3466,45.35105854,0.0,0.0
30735,36868,6153,98.82273581,0.0,0.0
30736,55081,41029,319.1949525,42367.5,124095.0
30738,49983,3799,44.159014299999996,0.0,0.0
30739,57173,5571,222.1291866,0.0,0.0
30740,52137,8600,169.1348555,2227.5,8020.0
30741,34697,29290,1175.549847,13137.5,52867.5
30742,34622,7460,2226.865672,68862.5,72037.5
30746,40716,1223,73.25546571,0.0,0.0
30747,33651,16859,92.11209275,35280.0,21610.0
30750,53837,4125,312.6421101,577.5,1507.5
30751,33511,91,160.21126759999999,0.0,0.0
30752,39450,9800,125.66680339999999,24097.5,33502.5
30753,31909,6697,163.51295259999998,37022.5,19897.5
30755,46929,9590,269.6319622,3540.0,5320.0
30756,48525,74,548.1481481000001,0.0,0.0
30757,36301,1787,104.4357431,0.0,0.0
30802,61604,6321,47.67723395,0.0,0.0
30803,39967,741,13.42099544,0.0,0.0
30805,44341,2734,77.46798141,0.0,0.0
30807,30678,92,148.8673139,0.0,0.0
30808,38150,4615,72.80328127,0.0,0.0
30809,91055,38168,874.2298266,32750.0,70674.671
30810,37058,2138,26.01384647,0.0,0.0
30812,43011,363,2729.323308,0.0,0.0
30813,54384,30415,612.6744959,19507.5,26202.5
30814,39274,8150,159.5598888,0.0,0.0
30815,48065,39640,303.2087811,11250.0,17764.8355
30816,33526,2109,16.13433806,0.0,0.0
30817,22873,7676,39.85234488,4015.0,5092.5
30818,29918,555,16.58548247,0.0,0.0
30820,35574,1205,14.32818074,0.0,0.0
30821,30702,882,8.530558162,0.0,0.0
30822,25918,526,15.06515824,0.0,0.0
30823,36985,1800,24.78929103,0.0,0.0
30824,33655,17201,86.60168561,37362.5,45215.0
30828,31984,4368,32.19648109,2067.5,4192.5
30830,32969,13966,38.82993069,15140.0,20355.0
30833,29918,4043,59.26240802,5695.0,16610.0
30901,18901,16445,800.6718925,20142.5,17795.197
30903,65635,585,3441.176471,0.0,0.0
30904,32890,25666,2477.174018,21827.5,75644.671
30905,49429,8955,640.1915928,0.0,0.0
