,ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
287,1951,91052,3558,258.4816564
288,1952,62924,8283,537.717476
289,1960,67119,50944,3184.597112
290,1966,73676,6952,994.2791762
291,1969,74911,5856,334.7816145
292,1970,57313,41109,5069.5523490000005
293,1982,97491,7764,547.3387381
294,1983,115015,6089,510.69361739999994
295,1984,132697,4875,636.4229765
296,1985,111739,4235,314.8464798
297,2019,77420,16332,890.0757534
298,2021,88829,21561,1147.044741
299,2025,114214,7542,770.456635
300,2026,85131,24711,2412.241312
301,2030,164583,5589,369.667306
302,2032,77708,4226,1805.982906
303,2035,94994,16865,849.7077791000002
304,2038,92042,31635,1188.12439
305,2043,99910,22157,1000.0
306,2045,70039,10293,3872.460497
307,2047,75170,180,753.1380753
308,2048,93593,23184,1153.375454
309,2050,85395,25429,874.4798652000001
310,2052,123176,12024,834.8840438999999
311,2053,100950,12752,1104.738803
312,2054,85472,7891,656.3799701
313,2056,111767,10981,738.5163763999999
314,2061,106730,10506,501.69523899999996
315,2062,72935,28602,2761.343889
316,2066,92394,17656,1043.067289
317,2067,117828,17486,771.2597036000001
318,2071,91781,1707,1759.793814
319,2072,69340,26999,1677.68595
320,2081,92954,18472,1030.8035710000001
321,2090,116083,14636,1343.368518
322,2093,94524,10955,504.6991615
323,2108,96033,3825,27919.70803
324,2109,92310,3771,21672.413790000002
325,2110,102972,1733,9418.478261
326,2111,31442,7383,27344.44444
327,2113,60386,6915,69150.0
328,2114,69809,11999,26664.44444
329,2115,30282,28441,40114.24542
330,2116,80153,20628,32690.96672
331,2118,51368,26498,24177.0073
332,2119,36316,25346,15861.07635
333,2120,28794,15181,24446.05475
334,2121,28897,25978,14887.10602
335,2122,45859,23479,11537.59214
336,2124,43598,47783,15911.75491
337,2125,44266,33295,15616.79174
338,2126,51733,25562,12277.61768
339,2127,64285,31799,15718.73455
340,2128,42613,40508,8350.443208
341,2129,80223,16439,12159.02367
342,2130,69576,35401,10618.17636
343,2131,62945,29826,11506.944440000001
344,2132,76802,25861,5670.0285030000005
345,2134,33863,21503,16216.440419999999
346,2135,52714,42780,16235.294119999999
347,2136,54410,28488,6206.535948
348,2138,68127,36314,13253.284670000001
349,2139,62821,36349,23330.55199
350,2140,65283,17607,15257.36568
351,2141,57909,11910,18551.401869999998
352,2142,61141,3141,11298.56115
353,2143,64966,24514,15887.23266
354,2144,68004,23891,22080.40665
355,2145,50718,25439,18222.77937
356,2148,55890,59503,11794.44995
357,2149,49696,41550,12127.845879999999
358,2150,40344,35124,15907.6087
359,2151,51723,51808,8837.93927
360,2152,68218,17497,8872.718053
361,2155,69803,57964,7071.367574
362,2163,23429,2582,26080.808080000003
363,2169,56647,55055,6136.99699
364,2170,64309,19505,9363.898223999999
365,2171,66808,17711,7223.083197
366,2176,85681,26983,5766.830519
367,2180,78103,21437,3561.5550759999996
368,2184,77129,35744,2599.752709
369,2186,98712,27003,2075.39774
370,2188,65251,14608,3927.937618
371,2189,62491,14559,3806.27451
372,2190,74205,16119,2264.540601
373,2191,68143,8457,4178.359684
374,2199,68080,1146,20105.26316
375,2203,106602,0,0.0
376,2210,61807,2090,2165.803109
377,2215,30726,26125,34150.3268
378,2301,48470,61025,4907.913785
379,2302,62408,32741,3682.9021369999996
380,2322,67313,4356,1015.384615
381,2324,80879,26563,972.4337385
382,2330,70048,11509,307.6532385
383,2332,116904,15059,634.3836886
384,2333,82133,13794,801.5573247000001
385,2339,104787,13879,889.1665065
386,2341,81912,10218,678.7113916000001
387,2343,62560,10745,1533.466533
388,2346,72466,23106,335.5114131
389,2347,94495,10612,356.5141437
390,2351,75850,16029,1660.176075
391,2356,99682,12564,916.6119501000001
392,2357,101136,1360,2827.442827
393,2359,83622,17828,818.661891
394,2360,74603,56271,589.2127914
395,2364,78923,12629,676.9041111
396,2366,89632,197,208.02534319999998
397,2367,87917,2820,192.176639
398,2368,65118,32158,3191.544264
399,2370,62855,17489,1696.149743
400,2375,78410,9188,630.6974190000001
401,2379,73651,6916,451.40656619999993
402,2382,77027,14489,2087.752161
403,2420,139453,14052,2134.264885
404,2421,126827,17342,1760.6091370000001
405,2445,105027,20679,7944.2950439999995
406,2446,67338,29311,22774.66977
407,2451,78675,17426,3155.169292
408,2452,67088,14238,3849.1484179999998
409,2453,59067,28968,8278.936839
410,2457,179792,1432,8950.0
411,2458,90740,12131,6059.440559000001
412,2459,128598,19095,3815.184815
413,2460,107495,8742,6504.464286
414,2461,110373,7059,4851.546392
415,2462,134119,1554,2937.6181469999997
416,2464,81143,2953,5226.548672999999
417,2465,110531,11710,5220.68658
418,2466,115116,8096,4520.379676
419,2467,130044,22491,4616.37931
420,2468,166454,5273,3562.8378380000004
421,2472,74968,32014,7941.949887999999
422,2474,82845,26312,8621.231979
423,2476,83975,16532,7894.9379180000005
424,2478,95269,24664,5307.510222
425,2481,173681,16244,2879.120879
426,2482,123003,10306,2449.144487
427,2492,118211,19931,2092.054162
428,2493,147946,11261,669.3016345
429,2494,104492,8955,3236.3570649999997
430,2532,60257,12690,890.2764136
431,2534,60788,842,368.3289589
432,2535,68906,1177,48.28916058
433,2536,61733,19583,707.4527654
434,2537,86643,6293,520.2116227
435,2538,54545,3603,791.6941332
436,2539,67625,4067,151.7141045
437,2540,58667,8221,767.0990016
438,2542,39803,1139,37.07078926
439,2543,82355,635,63.93475634
440,2553,70197,226,918.6991869999999
441,2554,61502,9852,251.78900019999998
442,2556,67750,3115,805.5340057
443,2557,59156,4491,623.3171409
444,2558,51662,2156,1754.271766
445,2559,62761,3376,670.9062002999999
446,2561,68597,539,876.4227642000001
447,2562,68960,2977,889.4532417000001
448,2563,84184,10359,784.6538403
449,2564,81944,310,53.74479889
450,2568,516,4000,599.5203837
451,2571,55500,10481,526.6304894
452,2575,68906,2725,108.9956402
453,2576,62034,3754,384.43420380000003
454,2584,81944,10,133.3333333
455,2601,44219,14089,1639.3995810000001
456,2630,71383,1850,461.3466334
457,2631,58280,9679,440.4550626
458,2632,67464,10742,1467.486339
459,2633,65871,3884,514.2327552
460,2635,75166,3296,596.4531307
461,2637,71516,253,361.42857139999995
462,2638,56770,3207,543.4672089
463,2639,47356,2875,1039.031442
464,2641,61013,532,260.6565409
465,2642,59536,4937,355.76853789999996
466,2643,62589,26,13.72756072
467,2644,82198,3955,1110.331275
468,2645,55137,9663,580.6044582999999
469,2646,52700,1676,556.6257057
470,2647,47353,129,272.15189869999995
471,2648,71212,7301,787.0001078
472,2649,62993,14006,602.4863422999999
473,2650,64477,848,586.4453665
474,2651,54464,16,228.5714286
475,2652,80425,1175,146.91172790000002
476,2653,57062,5911,490.9060709
477,2655,72786,3518,538.8267728999999
478,2657,44646,2942,304.2084583
479,2659,67569,1108,541.5444769999999
480,2660,52611,6261,812.2729632
481,2663,66109,173,122.4345364
482,2664,46673,9371,1351.0668970000002
483,2666,80425,828,65.10969568
484,2667,66118,2580,138.49374630000003
485,2668,71947,3278,217.4316795
486,2669,67569,285,318.43575419999996
487,2670,36555,1307,625.9578544
488,2671,55677,1023,507.9443893
489,2672,51601,180,364.37246960000004
490,2673,46414,8402,841.2094513000001
491,2675,63557,6577,728.3499446000001
492,2702,91095,4125,245.6234369
493,2703,67398,43593,1625.63395
494,2713,68906,52,10.28481013
495,2715,83613,3123,272.6796473
496,2717,75793,4745,268.3823529
497,2718,81142,6655,643.3059449
498,2719,53936,15873,1286.826105
499,2720,47794,30287,2786.036243
500,2721,32106,26290,6423.161495
501,2723,30338,14767,9246.712586
502,2724,30652,16908,9100.107643000001
503,2725,65712,2631,1108.723135
504,2726,68267,15534,2810.566311
505,2738,101006,4907,350.5500786
506,2739,74877,6045,348.3949052
507,2740,38238,43087,7579.067722
508,2743,70836,10307,559.2815671
509,2744,31128,11900,9217.660728
510,2745,51951,24576,2379.550736
511,2746,24099,15342,7250.47259
512,2747,72292,22927,469.7770675
513,2748,72885,11442,508.75944860000004
514,2760,79274,26739,1487.814378
515,2762,73645,8264,751.4776757000001
516,2763,76722,1973,2187.3614190000003
517,2764,83621,3988,376.4394941
518,2766,77953,19031,684.2729757000001
519,2767,76338,13566,569.7845352999999
520,2769,90530,11608,247.3049555
521,2770,95022,5093,158.2905983
522,2771,73961,13708,746.1760383
523,2777,70245,15840,698.6283244
524,2779,81125,6411,388.23956880000003
525,2780,53796,49036,1484.2752070000001
526,2790,68367,15717,292.6052798
527,2791,72105,246,233.3965844
528,2802,62982,786,4010.204082
529,2804,71104,2607,258.1699346
530,2806,105128,16310,1985.392575
531,2807,75417,1051,115.72340890000001
532,2808,73725,2401,301.5195278
533,2809,65256,22938,2337.03515
534,2812,72819,1497,225.45180719999996
535,2813,69956,7831,214.771543
536,2814,79171,7496,167.4372892
537,2815,78476,278,66.63470757
538,2816,68135,32611,861.4941617999999
539,2817,81419,6135,122.06526059999999
540,2818,90430,18082,828.7652397
541,2822,98411,6111,109.32021470000001
542,2825,73268,5377,99.49484670000001
543,2826,65948,791,316.6533227
544,2827,79051,2172,103.0409412
545,2828,78326,7704,1595.361358
546,2830,65423,5976,308.231896
547,2831,68687,3515,365.3846154
548,2832,71453,4608,206.5904506
