BUYER_ZIP,BUYER_COUNTY,BUYER_CITY,BUYER_STATE,COUNT
89015,CLARK,HENDERSON,NV,6861
83642,ADA,MERIDIAN,ID,6847
28144,ROWAN,SALISBURY,NC,6841
77008,HARRIS,HOUSTON,TX,6836
26062,HANCOCK,WEIRTON,WV,6834
7002,HUDSON,BAYONNE,NJ,6829
28645,CALDWELL,LENOIR,NC,6824
42003,MCCRACKEN,PADUCAH,KY,6819
71301,RAPIDES,ALEXANDRIA,LA,6815
28083,CABARRUS,KANNAPOLIS,NC,6810
15301,WASHINGTON,WASHINGTON,PA,6809
45014,BUTLER,FAIRFIELD,OH,6808
36301,HOUSTON,DOTHAN,AL,6805
94538,ALAMEDA,FREMONT,CA,6803
78613,WILLIAMSON,CEDAR PARK,TX,6797
89102,CLARK,LAS VEGAS,NV,6797
21236,BALTIMORE,BALTIMORE,MD,6783
71360,RAPIDES,PINEVILLE,LA,6780
73533,STEPHENS,DUNCAN,OK,6774
31909,MUSCOGEE,COLUMBUS,GA,6767
44870,ERIE,SANDUSKY,OH,6764
29169,LEXINGTON,WEST COLUMBIA,SC,6755
83501,NEZ PERCE,LEWISTON,ID,6749
33324,BROWARD,PLANTATION,FL,6741
86314,YAVAPAI,PRESCOTT VALLEY,AZ,6732
65203,BOONE,COLUMBIA,MO,6729
72205,PULASKI,LITTLE ROCK,AR,6725
72116,PULASKI,NORTH LITTLE ROCK,AR,6724
95603,PLACER,AUBURN,CA,6722
32205,DUVAL,JACKSONVILLE,FL,6720
28540,ONSLOW,JACKSONVILLE,NC,6720
95370,TUOLUMNE,SONORA,CA,6719
63801,SCOTT,SIKESTON,MO,6719
32935,BREVARD,MELBOURNE,FL,6717
87114,BERNALILLO,ALBUQUERQUE,NM,6703
70737,ASCENSION,GONZALES,LA,6694
93277,TULARE,VISALIA,CA,6684
93065,VENTURA,SIMI VALLEY,CA,6677
81501,MESA,GRAND JUNCTION,CO,6670
43207,FRANKLIN,COLUMBUS,OH,6670
30265,COWETA,NEWNAN,GA,6669
34652,PASCO,NEW PORT RICHEY,FL,6666
38242,HENRY,PARIS,TN,6664
96001,SHASTA,REDDING,CA,6659
22407,SPOTSYLVANIA,FREDERICKSBURG,VA,6659
28358,ROBESON,LUMBERTON,NC,6645
32806,ORANGE,ORLANDO,FL,6644
45044,BUTLER,MIDDLETOWN,OH,6642
48066,MACOMB,ROSEVILLE,MI,6640
49048,KALAMAZOO,KALAMAZOO,MI,6637
28027,CABARRUS,CONCORD,NC,6628
