ZIP_CODE,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
2568,4000,599.5203837
2571,10481,526.6304894
2575,2725,108.9956402
2576,3754,384.4342038
2584,10,133.3333333
2601,14089,1639.399581
2630,1850,461.3466334
2631,9679,440.4550626
2632,10742,1467.486339
2633,3884,514.2327552
2635,3296,596.4531307
2637,253,361.4285714
2638,3207,543.4672089
2639,2875,1039.031442
2641,532,260.6565409
2642,4937,355.7685379
2643,26,13.72756072
2644,3955,1110.331275
2645,9663,580.6044583
2646,1676,556.6257057
2647,129,272.1518987
2648,7301,787.0001078
2649,14006,602.4863423
2650,848,586.4453665
2651,16,228.5714286
2652,1175,146.9117279
2653,5911,490.9060709
2655,3518,538.8267729
2657,2942,304.2084583
2659,1108,541.544477
2660,6261,812.2729632
2663,173,122.4345364
2664,9371,1351.066897
2666,828,65.10969568
2667,2580,138.4937463
2668,3278,217.4316795
2669,285,318.4357542
2670,1307,625.9578544
2671,1023,507.9443893
2672,180,364.3724696
2673,8402,841.2094513
2675,6577,728.3499446
2702,4125,245.6234369
2703,43593,1625.63395
2713,52,10.28481013
2715,3123,272.6796473
2717,4745,268.3823529
2718,6655,643.3059449
2719,15873,1286.826105
2720,30287,2786.036243
2721,26290,6423.161495
2723,14767,9246.712586
2724,16908,9100.107643
2725,2631,1108.723135
2726,15534,2810.566311
2738,4907,350.5500786
2739,6045,348.3949052
2740,43087,7579.067722
2743,10307,559.2815671
2744,11900,9217.660728
2745,24576,2379.550736
2746,15342,7250.47259
2747,22927,469.7770675
2748,11442,508.7594486
2760,26739,1487.814378
2762,8264,751.4776757
2763,1973,2187.361419
2764,3988,376.4394941
2766,19031,684.2729757
2767,13566,569.7845353
2769,11608,247.3049555
2770,5093,158.2905983
2771,13708,746.1760383
2777,15840,698.6283244
2779,6411,388.2395688
2780,49036,1484.275207
2790,15717,292.6052798
2791,246,233.3965844
2802,786,4010.204082
2804,2607,258.1699346
2806,16310,1985.392575
2807,1051,115.7234089
2808,2401,301.5195278
2809,22938,2337.03515
2812,1497,225.4518072
2813,7831,214.771543
2814,7496,167.4372892
2815,278,66.63470757
2816,32611,861.4941618
2817,6135,122.0652606
2818,18082,828.7652397
2822,6111,109.3202147
2825,5377,99.4948467
2826,791,316.6533227
2827,2172,103.0409412
2828,7704,1595.361358
2830,5976,308.231896
2831,3515,365.3846154
2832,4608,206.5904506
2833,784,110.9695683
2835,5405,572.0787468
2836,136,442.9967427
2837,3492,170.1588539
2838,3400,2377.622378
2839,1902,439.5655188
2840,23335,3227.077859
2841,1392,2980.728051
2842,16095,1268.021744
2852,22551,730.1129925
2857,8412,201.5091628
2858,570,986.1591696
2859,6738,237.5462718
2860,45199,8373.286402
2861,14,3.928170595
2863,19385,16140.71607
2864,33396,1265.911072
2865,16951,1015.577257
2871,17171,1007.806081
2872,218,36.65097512
2873,235,83.68945869
2874,5860,386.3906106
2875,307,266.0311958
2876,430,3385.826772
2878,15780,543.1265919
2879,20371,544.9705725
2881,7841,2169.618152
2882,14184,1108.55803
2885,10627,1736.154223
2886,29269,1961.072027
2888,19912,3357.841484
2889,28217,3244.45211
2891,21198,803.7156398
2892,4988,182.083668
2893,29630,3764.451785
2894,722,166.5513264
2895,41186,5321.876211
2896,11537,487.2661232
2898,1696,146.8398268
2903,10780,6012.269939
2904,29359,5652.483635
2905,25223,6729.722519
2906,28387,8758.716446
2907,27445,12469.33212
2908,37467,11852.89465
2909,43540,12594.73532
2910,21000,6102.877071
2911,15574,6277.307537
2912,1370,31860.46512
2914,21963,4496.008188
2915,16897,3052.755194
2916,8139,3185.518591
2917,13762,645.0735915
2919,28790,1225.888865
2920,37547,4088.305749
2921,12361,940.5006467
3031,11247,324.4763718
3032,4953,196.5320213
3033,4987,252.2508852
3034,3970,120.3723356
3036,4782,184.2987629
3037,4219,87.48392983
3038,33269,924.4984161
3042,6341,243.6596987
3043,1573,50.22670669
3044,4263,252.1291696
3045,13560,380.2046825
3046,2758,89.24699867
3047,1767,66.9800235
3048,3426,115.9233945
3049,7688,242.0426282
3051,24480,863.8272346
3052,8258,553.0774898
3053,23957,583.40639
3054,25477,783.4496756
3055,15086,606.911534
3057,2500,149.2091913
3060,29357,4491.585067
3062,26694,2209.219565
3063,16216,2001.234111
3064,14227,3447.29828
3070,5254,122.1122112
3071,5109,156.0714831
3076,12897,488.7078439
3077,10155,345.2672379
3079,28776,1163.842265
3082,1615,56.53970032
3084,1366,61.44849303
3086,3728,138.1815486
3087,13592,507.0506603
3101,3049,3939.276486
3102,31096,3482.97491
3103,36476,3733.851981
3104,32798,3939.6997
3106,13374,366.9135802
3109,10314,1400.407332
3110,21203,645.7242051
3215,247,5.095304893
3216,2159,56.35163
3217,2076,188.9161889
3218,960,69.27406552
3220,7430,240.38306
3221,2091,45.48915526
3222,5353,73.63338744
3223,3427,46.79712144
3224,2318,57.66312595
3225,3660,127.0965726
3226,1117,82.91886274
3227,925,14.33597322
